country,rfo_id,reference_year,SDG1,Budget,j,GDP,norm_Budget,wave,norm_gbard
AT,AT5003,2016,democracy_and_governance_16,58600.5,2016EURO,438364544,.00013367983,2018,7.6836559e-06
AT,AT5001,2016,democracy_and_governance_16,15963.762,2016EURO,438364544,.000036416634,2018,7.6836559e-06
AT,AT5001,2016,work_conditions_8,7809,2016EURO,438364544,.00001781394,2018,7.6836559e-06
AT,AT5001,2016,human_rights_16,16133.154,2016EURO,438364544,.000036803056,2018,7.6836559e-06
AT,AT5001,2016,foresty_15,34153,2016EURO,438364544,.000077910045,2018,7.6836559e-06
AT,AT5003,2016,air_quality_management_13,10449,2016EURO,438364544,.000023836326,2018,7.6836559e-06
AT,AT5001,2016,provision_of_teacher_and_fac,11497.556,2016EURO,438364544,.000026228297,2018,7.6836559e-06
AT,AT5002,2016,Not detected,46172.309,2016EURO,438364544,.00010532857,2018,7.6836559e-06
AT,AT5001,2016,climate_change_strategy_13,7870.9092,2016EURO,438364544,.000017955168,2018,7.6836559e-06
AT,AT5001,2016,preventing_and_treaiting_dis,12401,2016EURO,438364544,.00002828924,2018,7.6836559e-06
AT,AT5003,2016,renewable_energy_7,106752,2016EURO,438364544,.00024352335,2018,7.6836559e-06
AT,AT5001,2016,sustainable_marine_resource_,20368.666,2016EURO,438364544,.000046465131,2018,7.6836559e-06
AT,AT5001,2016,sustainable_management_of_na,14552,2016EURO,438364544,.000033196116,2018,7.6836559e-06
AT,AT5002,2016,equal_education_4,10668,2016EURO,438364544,.00002433591,2018,7.6836559e-06
AT,AT5004,2016,employment_equality_opportun,9600,2016EURO,438364544,.000021899581,2018,7.6836559e-06
AT,AT5003,2016,provision_of_teacher_and_fac,106752,2016EURO,438364544,.00024352335,2018,7.6836559e-06
AT,AT5002,2016,health_care_provision_3,26733,2016EURO,438364544,.00006098349,2018,7.6836559e-06
AT,AT5001,2016,urban_environmental_mitigati,6580.5,2016EURO,438364544,.000015011478,2018,7.6836559e-06
AT,AT5003,2016,access_to_education_4,10449,2016EURO,438364544,.000023836326,2018,7.6836559e-06
AT,AT5001,2016,urban_mobility_11,20368.666,2016EURO,438364544,.000046465131,2018,7.6836559e-06
AT,AT5003,2016,access_to_housing_11,106752,2016EURO,438364544,.00024352335,2018,7.6836559e-06
AT,AT5001,2016,crime_and_terrorism_16,9826.5,2016EURO,438364544,.000022416274,2018,7.6836559e-06
AT,AT5002,2016,gender_equality_1,9468.7998,2016EURO,438364544,.000021600286,2018,7.6836559e-06
AT,AT5001,2016,carbon_footprint_13,13764.6,2016EURO,438364544,.000031399893,2018,7.6836559e-06
AT,AT5001,2016,Fishing_14,12401,2016EURO,438364544,.00002828924,2018,7.6836559e-06
AT,AT5003,2016,agricultural_productivity_an,58600.5,2016EURO,438364544,.00013367983,2018,7.6836559e-06
AT,AT5002,2016,access_to_education_4,14288.143,2016EURO,438364544,.000032594202,2018,7.6836559e-06
AT,AT5004,2016,access_to_education_4,7165.5,2016EURO,438364544,.000016345984,2018,7.6836559e-06
AT,AT5001,2016,poverty_measurement_reductio,8299.333,2016EURO,438364544,.000018932491,2018,7.6836559e-06
AT,AT5004,2016,marine_technology_14,9600,2016EURO,438364544,.000021899581,2018,7.6836559e-06
AT,AT5003,2016,climate_change_strategy_13,58600.5,2016EURO,438364544,.00013367983,2018,7.6836559e-06
AT,AT5003,2016,human_rights_16,10449,2016EURO,438364544,.000023836326,2018,7.6836559e-06
AT,AT5001,2016,bribery_and_corruption_16,14266.125,2016EURO,438364544,.000032543976,2018,7.6836559e-06
AT,AT5002,2016,employment_equality_opportun,11426,2016EURO,438364544,.000026065065,2018,7.6836559e-06
AT,AT5003,2016,economic_productivity_8,58600.5,2016EURO,438364544,.00013367983,2018,7.6836559e-06
AT,AT5001,2016,urban_planning_and_governanc,14532.571,2016EURO,438364544,.000033151795,2018,7.6836559e-06
AT,AT5001,2016,access_to_housing_11,23277,2016EURO,438364544,.00005309964,2018,7.6836559e-06
AT,AT5002,2016,democracy_and_governance_16,20763,2016EURO,438364544,.000047364687,2018,7.6836559e-06
AT,AT5001,2016,technology_infrastructure_9,13208,2016EURO,438364544,.000030130173,2018,7.6836559e-06
AT,AT5003,2016,gender_equality_5,58600.5,2016EURO,438364544,.00013367983,2018,7.6836559e-06
AT,AT5003,2016,health_care_provision_3,106752,2016EURO,438364544,.00024352335,2018,7.6836559e-06
AT,AT5003,2016,carbon_footprint_13,58600.5,2016EURO,438364544,.00013367983,2018,7.6836559e-06
AT,AT5003,2016,economic_inequality_1,106752,2016EURO,438364544,.00024352335,2018,7.6836559e-06
AT,AT5001,2016,air_quality_management_13,23277,2016EURO,438364544,.00005309964,2018,7.6836559e-06
AT,AT5004,2016,work_conditions_8,9600,2016EURO,438364544,.000021899581,2018,7.6836559e-06
AT,AT5003,2016,urban_planning_and_governanc,58600.5,2016EURO,438364544,.00013367983,2018,7.6836559e-06
AT,AT5003,2016,energy_efficiency_7,106752,2016EURO,438364544,.00024352335,2018,7.6836559e-06
AT,AT5001,2016,agricultural_productivity_an,15570.857,2016EURO,438364544,.000035520341,2018,7.6836559e-06
AT,AT5001,2016,literacy_and_numeracy_4,8868,2016EURO,438364544,.000020229738,2018,7.6836559e-06
AT,AT5003,2016,technology_infrastructure_9,58600.5,2016EURO,438364544,.00013367983,2018,7.6836559e-06
AT,AT5003,2016,bribery_and_corruption_16,58600.5,2016EURO,438364544,.00013367983,2018,7.6836559e-06
AT,AT5003,2016,biodiversity_and_ecosystem_1,58600.5,2016EURO,438364544,.00013367983,2018,7.6836559e-06
AT,AT5003,2016,poverty_measurement_reductio,106752,2016EURO,438364544,.00024352335,2018,7.6836559e-06
AT,AT5004,2016,gender_equality_1,7165.5,2016EURO,438364544,.000016345984,2018,7.6836559e-06
AT,AT5004,2016,sexual_and_reproductive_heal,9600,2016EURO,438364544,.000021899581,2018,7.6836559e-06
AT,AT5004,2016,innovation_9,7165.5,2016EURO,438364544,.000016345984,2018,7.6836559e-06
AT,AT5001,2016,soil_quality_15,34153,2016EURO,438364544,.000077910045,2018,7.6836559e-06
AT,AT5003,2016,foresty_15,10449,2016EURO,438364544,.000023836326,2018,7.6836559e-06
AT,AT5002,2016,mental_health_3,8490,2016EURO,438364544,.000019367442,2018,7.6836559e-06
AT,AT5004,2016,social_equality_1,9600,2016EURO,438364544,.000021899581,2018,7.6836559e-06
AT,AT5001,2016,industrial_research_9,52523.117,2016EURO,438364544,.00011981607,2018,7.6836559e-06
AT,AT5004,2016,industrial_research_9,9600,2016EURO,438364544,.000021899581,2018,7.6836559e-06
AT,AT5001,2016,employment_equality_opportun,15681.091,2016EURO,438364544,.000035771805,2018,7.6836559e-06
AT,AT5001,2016,economic_inequality_1,17283.199,2016EURO,438364544,.000039426544,2018,7.6836559e-06
AT,AT5003,2016,sustainable_management_of_na,58600.5,2016EURO,438364544,.00013367983,2018,7.6836559e-06
AT,AT5001,2016,sustainable_tourism_12,14552,2016EURO,438364544,.000033196116,2018,7.6836559e-06
AT,AT5002,2016,work_conditions_8,12388.333,2016EURO,438364544,.000028260345,2018,7.6836559e-06
AT,AT5001,2016,equal_access_to_justice_16,22237.715,2016EURO,438364544,.000050728817,2018,7.6836559e-06
AT,AT5004,2016,provision_of_teacher_and_fac,4731,2016EURO,438364544,.000010792387,2018,7.6836559e-06
AT,AT5001,2016,local_culture_and_products_8,34153,2016EURO,438364544,.000077910045,2018,7.6836559e-06
AT,AT5003,2016,employment_equality_opportun,106752,2016EURO,438364544,.00024352335,2018,7.6836559e-06
AT,AT5001,2016,equal_education_4,14101.5,2016EURO,438364544,.000032168431,2018,7.6836559e-06
AT,AT5002,2016,industrial_research_9,12699.2,2016EURO,438364544,.000028969496,2018,7.6836559e-06
AT,AT5002,2016,innovation_9,26690.666,2016EURO,438364544,.00006088692,2018,7.6836559e-06
AT,AT5001,2016,gender_equality_10,47271,2016EURO,438364544,.00010783491,2018,7.6836559e-06
AT,AT5002,2016,human_rights_16,11632.25,2016EURO,438364544,.000026535563,2018,7.6836559e-06
AT,AT5001,2016,renewable_energy_7,12401,2016EURO,438364544,.00002828924,2018,7.6836559e-06
AT,AT5001,2016,social_equality_1,14544,2016EURO,438364544,.000033177865,2018,7.6836559e-06
AT,AT5001,2016,social_equality_10,11737,2016EURO,438364544,.00002677452,2018,7.6836559e-06
AT,AT5001,2016,health_care_provision_3,7714,2016EURO,438364544,.000017597225,2018,7.6836559e-06
AT,AT5001,2016,energy_efficiency_7,12401,2016EURO,438364544,.00002828924,2018,7.6836559e-06
AT,AT5003,2016,sustainable_marine_resource_,10449,2016EURO,438364544,.000023836326,2018,7.6836559e-06
AT,AT5001,2016,waste_management_recycling_1,18678.285,2016EURO,438364544,.000042609023,2018,7.6836559e-06
AT,AT5004,2016,gender_equality_5,7165.5,2016EURO,438364544,.000016345984,2018,7.6836559e-06
AT,AT5003,2016,industrial_research_9,58600.5,2016EURO,438364544,.00013367983,2018,7.6836559e-06
AT,AT5002,2016,marine_technology_14,20865,2016EURO,438364544,.000047597372,2018,7.6836559e-06
AT,AT5001,2016,water_resource_6,12401,2016EURO,438364544,.00002828924,2018,7.6836559e-06
AT,AT5001,2016,sustainable_agriculture_2,24352.5,2016EURO,438364544,.000055553079,2018,7.6836559e-06
AT,AT5001,2016,marine_technology_14,4275,2016EURO,438364544,9.7521570e-06,2018,7.6836559e-06
AT,AT5003,2016,urban_environmental_mitigati,58600.5,2016EURO,438364544,.00013367983,2018,7.6836559e-06
AT,AT5002,2016,urban_planning_and_governanc,815,2016EURO,438364544,1.8591832e-06,2018,7.6836559e-06
AT,AT5001,2016,Not detected,43069.68,2016EURO,438364544,.000098250828,2018,7.6836559e-06
AT,AT5002,2016,provision_of_teacher_and_fac,14736.75,2016EURO,438364544,.000033617569,2018,7.6836559e-06
AT,AT5001,2016,traffic_accidents_3,18778.5,2016EURO,438364544,.000042837633,2018,7.6836559e-06
AT,AT5001,2016,force_labour_8,12401,2016EURO,438364544,.00002828924,2018,7.6836559e-06
AT,AT5003,2016,food_security_2,10449,2016EURO,438364544,.000023836326,2018,7.6836559e-06
AT,AT5001,2016,gender_equality_5,19541.301,2016EURO,438364544,.00004457774,2018,7.6836559e-06
AT,AT5001,2016,youth_employment_8,5763.5,2016EURO,438364544,.000013147733,2018,7.6836559e-06
AT,AT5004,2016,democracy_and_governance_16,7165.5,2016EURO,438364544,.000016345984,2018,7.6836559e-06
AT,AT5004,2016,technology_infrastructure_9,9600,2016EURO,438364544,.000021899581,2018,7.6836559e-06
AT,AT5002,2016,gender_equality_5,9468.7998,2016EURO,438364544,.000021600286,2018,7.6836559e-06
AT,AT5003,2016,preventing_and_treaiting_dis,10449,2016EURO,438364544,.000023836326,2018,7.6836559e-06
AT,AT5004,2016,Not detected,10442.025,2016EURO,438364544,.000023820416,2018,7.6836559e-06
AT,AT5003,2016,water_resource_6,10449,2016EURO,438364544,.000023836326,2018,7.6836559e-06
AT,AT5003,2016,Not detected,33856,2016EURO,438364544,.000077232522,2018,7.6836559e-06
AT,AT5001,2016,innovation_9,47112.414,2016EURO,438364544,.00010747314,2018,7.6836559e-06
AT,AT5002,2016,social_equality_1,20984.199,2016EURO,438364544,.000047869289,2018,7.6836559e-06
AT,AT5001,2016,sexual_and_reproductive_heal,12973.8,2016EURO,438364544,.000029595914,2018,7.6836559e-06
AT,AT5001,2016,economic_productivity_8,16278.706,2016EURO,438364544,.000037135087,2018,7.6836559e-06
AT,AT5002,2016,technology_infrastructure_9,8164,2016EURO,438364544,.000018623768,2018,7.6836559e-06
AT,AT5001,2016,access_to_education_4,26778.715,2016EURO,438364544,.000061087776,2018,7.6836559e-06
AT,AT5003,2016,sustainable_agriculture_2,10449,2016EURO,438364544,.000023836326,2018,7.6836559e-06
AT,AT5003,2016,innovation_9,58600.5,2016EURO,438364544,.00013367983,2018,7.6836559e-06
AT,AT5001,2016,mental_health_3,11167.5,2016EURO,438364544,.000025475372,2018,7.6836559e-06
AT,AT5003,2016,work_conditions_8,106752,2016EURO,438364544,.00024352335,2018,7.6836559e-06
AT,AT5001,2016,food_security_2,12401,2016EURO,438364544,.00002828924,2018,7.6836559e-06
AT,AT5002,2016,sexual_and_reproductive_heal,11426,2016EURO,438364544,.000026065065,2018,7.6836559e-06
AT,AT5001,2016,disaster_vulnerability_1,12401,2016EURO,438364544,.00002828924,2018,7.6836559e-06
AT,AT5003,2016,gender_equality_1,58600.5,2016EURO,438364544,.00013367983,2018,7.6836559e-06
AT,AT5004,2016,human_rights_16,9600,2016EURO,438364544,.000021899581,2018,7.6836559e-06
AT,AT5001,2016,biodiversity_and_ecosystem_1,13764.6,2016EURO,438364544,.000031399893,2018,7.6836559e-06
AT,AT5001,2016,substance_abuse_3,12401,2016EURO,438364544,.00002828924,2018,7.6836559e-06
AT,AT5001,2016,gender_equality_1,16460.223,2016EURO,438364544,.000037549165,2018,7.6836559e-06
AT,AT5001,2017,technology_infrastructure_9,13272.5,2017EURO,400496160,.000033140142,2018,8.4722951e-06
AT,AT5001,2017,work_conditions_8,7809,2017EURO,400496160,.000019498315,2018,8.4722951e-06
AT,AT5003,2017,biodiversity_and_ecosystem_1,58600.5,2017EURO,400496160,.00014631976,2018,8.4722951e-06
AT,AT5001,2017,marine_technology_14,4275,2017EURO,400496160,.00001067426,2018,8.4722951e-06
AT,AT5003,2017,poverty_measurement_reductio,106752,2017EURO,400496160,.00026654938,2018,8.4722951e-06
AT,AT5001,2017,gender_equality_10,31650.334,2017EURO,400496160,.000079027806,2018,8.4722951e-06
AT,AT5001,2017,gender_equality_1,16460.223,2017EURO,400496160,.000041099578,2018,8.4722951e-06
AT,AT5004,2017,industrial_research_9,6899.5,2017EURO,400496160,.000017227381,2018,8.4722951e-06
AT,AT5001,2017,equal_education_4,14101.5,2017EURO,400496160,.000035210076,2018,8.4722951e-06
AT,AT5001,2017,equal_access_to_justice_16,22237.715,2017EURO,400496160,.000055525412,2018,8.4722951e-06
AT,AT5001,2017,energy_efficiency_7,12401,2017EURO,400496160,.000030964093,2018,8.4722951e-06
AT,AT5001,2017,economic_inequality_1,17283.199,2017EURO,400496160,.000043154469,2018,8.4722951e-06
AT,AT5004,2017,equal_education_4,4199,2017EURO,400496160,.000010484495,2018,8.4722951e-06
AT,AT5001,2017,access_to_education_4,26778.715,2017EURO,400496160,.000066863846,2018,8.4722951e-06
AT,AT5001,2017,renewable_energy_7,12401,2017EURO,400496160,.000030964093,2018,8.4722951e-06
AT,AT5003,2017,agricultural_productivity_an,58600.5,2017EURO,400496160,.00014631976,2018,8.4722951e-06
AT,AT5003,2017,gender_equality_1,58600.5,2017EURO,400496160,.00014631976,2018,8.4722951e-06
AT,AT5004,2017,innovation_9,9600,2017EURO,400496160,.000023970268,2018,8.4722951e-06
AT,AT5001,2017,agricultural_productivity_an,15570.857,2017EURO,400496160,.000038878919,2018,8.4722951e-06
AT,AT5001,2017,democracy_and_governance_16,15988.333,2017EURO,400496160,.000039921313,2018,8.4722951e-06
AT,AT5001,2017,Not detected,40525.258,2017EURO,400496160,.00010118763,2018,8.4722951e-06
